index,baseline_scores
14,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 2.0, 'Conciseness': 1.0, 'Overall_Average': 1.8, 'ROUGE-1': 0.16393442622950818, 'ROUGE-2': 0.06629834254143646, 'ROUGE-L': 0.12021857923497266, 'BLEU': 0.017579262134424213}"
15,"{'Descriptiveness': 1.0, 'Coherence': 5.0, 'Completeness': 1.0, 'Fluency': 1.0, 'Conciseness': 5.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.17391304347826086, 'ROUGE-2': 0.0, 'ROUGE-L': 0.17391304347826086, 'BLEU': 0.0092991042878441}"
16,"{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.3373493975903615, 'ROUGE-2': 0.07317073170731707, 'ROUGE-L': 0.24096385542168677, 'BLEU': 0.025112626434362576}"
17,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.13333333333333333, 'ROUGE-2': 0.07766990291262134, 'ROUGE-L': 0.11428571428571428, 'BLEU': 0.0183951670411268}"
18,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 2.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.13592233009708737, 'ROUGE-2': 0.049019607843137254, 'ROUGE-L': 0.0970873786407767, 'BLEU': 0.010035410926162086}"
19,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 2.0, 'Conciseness': 5.0, 'Overall_Average': 2.0, 'ROUGE-1': 0.14285714285714288, 'ROUGE-2': 0.028985507246376815, 'ROUGE-L': 0.14285714285714288, 'BLEU': 0.00856957038143778}"
20,"{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.303886925795053, 'ROUGE-2': 0.06405693950177938, 'ROUGE-L': 0.19081272084805653, 'BLEU': 0.014470540431297503}"
21,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.08433734939759037, 'ROUGE-2': 0.024390243902439025, 'ROUGE-L': 0.060240963855421686, 'BLEU': 0.005684240287861886}"
22,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.152046783625731, 'ROUGE-2': 0.023668639053254437, 'ROUGE-L': 0.14035087719298245, 'BLEU': 0.0069593433152958795}"
23,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.28070175438596484, 'ROUGE-2': 0.03636363636363636, 'ROUGE-L': 0.28070175438596484, 'BLEU': 0.021756948895193855}"
24,"{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.25225225225225223, 'ROUGE-2': 0.055045871559633024, 'ROUGE-L': 0.21621621621621623, 'BLEU': 0.01321462654834363}"
25,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.16666666666666663, 'ROUGE-2': 0.01886792452830189, 'ROUGE-L': 0.16666666666666663, 'BLEU': 0.012531872715972323}"
26,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.11926605504587157, 'ROUGE-2': 0.018518518518518517, 'ROUGE-L': 0.11926605504587157, 'BLEU': 0.0043404071678125895}"
27,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 2.0, 'Overall_Average': 2.2, 'ROUGE-1': 0.15819209039548024, 'ROUGE-2': 0.04571428571428571, 'ROUGE-L': 0.13559322033898305, 'BLEU': 0.01401698400989873}"
28,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 1.0, 'Conciseness': 5.0, 'Overall_Average': 1.8, 'ROUGE-1': 0.0641025641025641, 'ROUGE-2': 0.012987012987012986, 'ROUGE-L': 0.0641025641025641, 'BLEU': 0.005212162535762792}"
29,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 2.0, 'Conciseness': 5.0, 'Overall_Average': 2.2, 'ROUGE-1': 0.24657534246575344, 'ROUGE-2': 0.056338028169014086, 'ROUGE-L': 0.2191780821917808, 'BLEU': 0.03652505878416261}"
30,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.13888888888888892, 'ROUGE-2': 0.028571428571428567, 'ROUGE-L': 0.13888888888888892, 'BLEU': 0.007724551620034282}"
31,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.21686746987951808, 'ROUGE-2': 0.04878048780487805, 'ROUGE-L': 0.1927710843373494, 'BLEU': 0.011210196267044734}"
32,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.2197802197802198, 'ROUGE-2': 0.0449438202247191, 'ROUGE-L': 0.2197802197802198, 'BLEU': 0.018948563594755666}"
33,"{'Descriptiveness': 1.0, 'Coherence': 5.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.22641509433962262, 'ROUGE-2': 0.0392156862745098, 'ROUGE-L': 0.22641509433962262, 'BLEU': 0.009532659295930007}"
34,"{'Descriptiveness': 2.0, 'Coherence': 5.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.15624999999999997, 'ROUGE-2': 0.04210526315789474, 'ROUGE-L': 0.13541666666666666, 'BLEU': 0.011081843753752473}"
35,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.11235955056179776, 'ROUGE-2': 0.034090909090909095, 'ROUGE-L': 0.0898876404494382, 'BLEU': 0.007785161496830097}"
36,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.1420118343195266, 'ROUGE-2': 0.011976047904191616, 'ROUGE-L': 0.09467455621301775, 'BLEU': 0.004419052369013801}"
37,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.23255813953488372, 'ROUGE-2': 0.04761904761904762, 'ROUGE-L': 0.1395348837209302, 'BLEU': 0.01795756827848446}"
38,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 1.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.18691588785046728, 'ROUGE-2': 0.057142857142857155, 'ROUGE-L': 0.14953271028037382, 'BLEU': 0.020545021350847598}"
39,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.1643835616438356, 'ROUGE-2': 0.03686635944700461, 'ROUGE-L': 0.1461187214611872, 'BLEU': 0.0073961749679256}"
40,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.23140495867768593, 'ROUGE-2': 0.05042016806722689, 'ROUGE-L': 0.18181818181818185, 'BLEU': 0.009942803496832754}"
41,"{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.25316455696202533, 'ROUGE-2': 0.0, 'ROUGE-L': 0.1772151898734177, 'BLEU': 0.007496099602462866}"
42,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.1226993865030675, 'ROUGE-2': 0.04968944099378882, 'ROUGE-L': 0.11042944785276074, 'BLEU': 0.0062547784757223885}"
43,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.14814814814814814, 'ROUGE-2': 0.015037593984962407, 'ROUGE-L': 0.10370370370370371, 'BLEU': 0.008367599448195637}"
44,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 3.0, 'Fluency': 1.0, 'Conciseness': 1.0, 'Overall_Average': 1.4, 'ROUGE-1': 0.20652173913043478, 'ROUGE-2': 0.0989010989010989, 'ROUGE-L': 0.15217391304347827, 'BLEU': 0.019623525392987153}"
45,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.18274111675126906, 'ROUGE-2': 0.05128205128205129, 'ROUGE-L': 0.15228426395939088, 'BLEU': 0.009518666546173686}"
46,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 2.0, 'Conciseness': 3.0, 'Overall_Average': 2.0, 'ROUGE-1': 0.21739130434782608, 'ROUGE-2': 0.03296703296703297, 'ROUGE-L': 0.16304347826086957, 'BLEU': 0.010442310656446881}"
47,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.2173913043478261, 'ROUGE-2': 0.0, 'ROUGE-L': 0.15217391304347827, 'BLEU': 0.007255987548856887}"
48,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.1711229946524064, 'ROUGE-2': 0.032432432432432434, 'ROUGE-L': 0.14973262032085563, 'BLEU': 0.008318349665605938}"
49,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.24669603524229072, 'ROUGE-2': 0.08, 'ROUGE-L': 0.18502202643171806, 'BLEU': 0.03177695294173514}"
50,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.21590909090909088, 'ROUGE-2': 0.08045977011494253, 'ROUGE-L': 0.14772727272727273, 'BLEU': 0.012895300470093364}"
51,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 2.0, 'Conciseness': 4.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.16091954022988506, 'ROUGE-2': 0.0, 'ROUGE-L': 0.1379310344827586, 'BLEU': 0.0070009357282032674}"
52,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.17094017094017094, 'ROUGE-2': 0.034782608695652174, 'ROUGE-L': 0.13675213675213674, 'BLEU': 0.013900355676070559}"
53,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.15510204081632653, 'ROUGE-2': 0.03292181069958847, 'ROUGE-L': 0.12244897959183673, 'BLEU': 0.015201034678015743}"
54,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.11428571428571428, 'ROUGE-2': 0.01923076923076923, 'ROUGE-L': 0.09523809523809525, 'BLEU': 0.006130241851467465}"
55,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.32786885245901637, 'ROUGE-2': 0.06666666666666667, 'ROUGE-L': 0.21311475409836064, 'BLEU': 0.03341757770995146}"
56,"{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.36363636363636365, 'ROUGE-2': 0.0, 'ROUGE-L': 0.27272727272727276, 'BLEU': 0.01305474778186722}"
57,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 2.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.27530364372469635, 'ROUGE-2': 0.04081632653061225, 'ROUGE-L': 0.21052631578947367, 'BLEU': 0.00967703362119953}"
58,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 2.0, 'Conciseness': 2.0, 'Overall_Average': 1.6, 'ROUGE-1': 0.17218543046357615, 'ROUGE-2': 0.040268456375838924, 'ROUGE-L': 0.14569536423841062, 'BLEU': 0.013434001601257796}"
59,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 3.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.33695652173913043, 'ROUGE-2': 0.07692307692307693, 'ROUGE-L': 0.1956521739130435, 'BLEU': 0.021542843367810247}"
60,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 2.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.25287356321839083, 'ROUGE-2': 0.06976744186046512, 'ROUGE-L': 0.16091954022988508, 'BLEU': 0.017504475508485207}"
61,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.15555555555555559, 'ROUGE-2': 0.04494382022471909, 'ROUGE-L': 0.12222222222222222, 'BLEU': 0.014652221405625877}"
62,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.21978021978021978, 'ROUGE-2': 0.044444444444444446, 'ROUGE-L': 0.15384615384615385, 'BLEU': 0.011067763399814549}"
63,"{'Descriptiveness': 1.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.14583333333333334, 'ROUGE-2': 0.0, 'ROUGE-L': 0.10416666666666666, 'BLEU': 0.007760177881375226}"
64,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.11827956989247312, 'ROUGE-2': 0.021739130434782608, 'ROUGE-L': 0.09677419354838711, 'BLEU': 0.010880962615991925}"
65,"{'Descriptiveness': 2.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.20202020202020204, 'ROUGE-2': 0.041237113402061855, 'ROUGE-L': 0.12121212121212122, 'BLEU': 0.019455096345914448}"
66,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 2.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.10416666666666667, 'ROUGE-2': 0.031578947368421054, 'ROUGE-L': 0.07291666666666666, 'BLEU': 0.007152965616169271}"
67,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 1.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.07526881720430108, 'ROUGE-2': 0.010869565217391304, 'ROUGE-L': 0.05376344086021505, 'BLEU': 0.006183073901824777}"
68,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.21875, 'ROUGE-2': 0.10526315789473684, 'ROUGE-L': 0.17708333333333331, 'BLEU': 0.024255598047926596}"
69,"{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.10062893081761005, 'ROUGE-2': 0.03821656050955414, 'ROUGE-L': 0.07547169811320756, 'BLEU': 0.008047167669793178}"
70,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.31683168316831684, 'ROUGE-2': 0.12121212121212122, 'ROUGE-L': 0.2376237623762376, 'BLEU': 0.04217428884601531}"
71,"{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.22727272727272727, 'ROUGE-2': 0.07692307692307693, 'ROUGE-L': 0.16666666666666669, 'BLEU': 0.01471699579290337}"
72,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.39506172839506176, 'ROUGE-2': 0.0759493670886076, 'ROUGE-L': 0.271604938271605, 'BLEU': 0.01813364613934503}"
73,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 2.4, 'ROUGE-1': 0.1574074074074074, 'ROUGE-2': 0.018691588785046728, 'ROUGE-L': 0.12037037037037038, 'BLEU': 0.007114819777013624}"
74,"{'Descriptiveness': 2.0, 'Coherence': 2.0, 'Completeness': 2.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.07407407407407408, 'ROUGE-2': 0.0, 'ROUGE-L': 0.07407407407407408, 'BLEU': 0.0028197278763636958}"
75,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.12048192771084337, 'ROUGE-2': 0.024390243902439025, 'ROUGE-L': 0.12048192771084337, 'BLEU': 0.008060952976845372}"
76,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 1.0, 'Conciseness': 1.0, 'Overall_Average': 1.0, 'ROUGE-1': 0.07894736842105263, 'ROUGE-2': 0.0, 'ROUGE-L': 0.07894736842105263, 'BLEU': 0.00610232513021697}"
77,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.4761904761904762, 'ROUGE-2': 0.19999999999999998, 'ROUGE-L': 0.3333333333333333, 'BLEU': 0.039472156762420364}"
78,"{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 3.0, 'Conciseness': 5.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.10471204188481675, 'ROUGE-2': 0.031746031746031744, 'ROUGE-L': 0.0837696335078534, 'BLEU': 0.007559263696247363}"
79,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.3103448275862069, 'ROUGE-2': 0.14035087719298245, 'ROUGE-L': 0.27586206896551724, 'BLEU': 0.08075242400307703}"
80,"{'Descriptiveness': 1.0, 'Coherence': 1.0, 'Completeness': 1.0, 'Fluency': 2.0, 'Conciseness': 4.0, 'Overall_Average': 1.8, 'ROUGE-1': 0.22413793103448276, 'ROUGE-2': 0.052173913043478265, 'ROUGE-L': 0.16379310344827586, 'BLEU': 0.01113332685820795}"
81,"{'Descriptiveness': 4.0, 'Coherence': 2.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 2.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.2909090909090909, 'ROUGE-2': 0.09259259259259259, 'ROUGE-L': 0.21818181818181817, 'BLEU': 0.014031032690040834}"
82,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 3.0, 'Conciseness': 2.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.3055555555555555, 'ROUGE-2': 0.05633802816901408, 'ROUGE-L': 0.19444444444444445, 'BLEU': 0.02026259726844875}"
83,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 2.8, 'ROUGE-1': 0.30357142857142855, 'ROUGE-2': 0.0, 'ROUGE-L': 0.21428571428571427, 'BLEU': 0.009360998425298974}"
84,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.2085889570552147, 'ROUGE-2': 0.012422360248447204, 'ROUGE-L': 0.147239263803681, 'BLEU': 0.00967401140939555}"
85,"{'Descriptiveness': 2.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.2, 'ROUGE-1': 0.10256410256410256, 'ROUGE-2': 0.03478260869565217, 'ROUGE-L': 0.10256410256410256, 'BLEU': 0.00757741972623401}"
86,"{'Descriptiveness': 2.0, 'Coherence': 1.0, 'Completeness': 2.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 2.6, 'ROUGE-1': 0.13793103448275862, 'ROUGE-2': 0.011627906976744186, 'ROUGE-L': 0.10344827586206896, 'BLEU': 0.007042674825202109}"
