index,bart_scores,t5_movie_scores,t5_synthetic_scores
10,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.6, 'ROUGE-1': 0.32888888888888884, 'ROUGE-2': 0.07174887892376683, 'ROUGE-L': 0.17777777777777778, 'BLEU': 0.014715412282471902}","{'Descriptiveness': 5.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 5.0, 'ROUGE-1': 0.2926829268292683, 'ROUGE-2': 0.08866995073891625, 'ROUGE-L': 0.18536585365853658, 'BLEU': 0.02351537959001066}","{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.2333333333333333, 'ROUGE-2': 0.03389830508474576, 'ROUGE-L': 0.16666666666666663, 'BLEU': 0.008602648208851026}"
11,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.8, 'ROUGE-1': 0.1257142857142857, 'ROUGE-2': 0.03468208092485549, 'ROUGE-L': 0.1142857142857143, 'BLEU': 0.010187790689398029}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.20382165605095542, 'ROUGE-2': 0.025806451612903226, 'ROUGE-L': 0.12738853503184713, 'BLEU': 0.011381196730734865}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.8, 'ROUGE-1': 0.23076923076923075, 'ROUGE-2': 0.03921568627450981, 'ROUGE-L': 0.17307692307692307, 'BLEU': 0.014417142951993533}"
12,"{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.19791666666666669, 'ROUGE-2': 0.05263157894736842, 'ROUGE-L': 0.14583333333333334, 'BLEU': 0.01682741870906466}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.6, 'ROUGE-1': 0.2222222222222222, 'ROUGE-2': 0.04225352112676056, 'ROUGE-L': 0.18055555555555555, 'BLEU': 0.01393898141053859}","{'Descriptiveness': 2.0, 'Coherence': 5.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 3.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.22727272727272724, 'ROUGE-2': 0.04615384615384615, 'ROUGE-L': 0.18181818181818182, 'BLEU': 0.012455441502024272}"
13,"{'Descriptiveness': 5.0, 'Coherence': 4.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.6, 'ROUGE-1': 0.178343949044586, 'ROUGE-2': 0.07741935483870967, 'ROUGE-L': 0.14012738853503184, 'BLEU': 0.013381541116148164}","{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 3.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.12, 'ROUGE-2': 0.027027027027027025, 'ROUGE-L': 0.12, 'BLEU': 0.009602531390916255}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.6, 'ROUGE-1': 0.2469135802469136, 'ROUGE-2': 0.10126582278481011, 'ROUGE-L': 0.19753086419753085, 'BLEU': 0.02398363216967907}"
14,"{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.25136612021857924, 'ROUGE-2': 0.03314917127071823, 'ROUGE-L': 0.16393442622950818, 'BLEU': 0.005155912668595385}","{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.26993865030674846, 'ROUGE-2': 0.07453416149068323, 'ROUGE-L': 0.18404907975460122, 'BLEU': 0.015645823353472074}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.24193548387096778, 'ROUGE-2': 0.01639344262295082, 'ROUGE-L': 0.20967741935483872, 'BLEU': 0.01319926406713935}"
15,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.14723926380368096, 'ROUGE-2': 0.08695652173913043, 'ROUGE-L': 0.11042944785276075, 'BLEU': 0.027359080566353566}","{'Descriptiveness': 5.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 5.0, 'ROUGE-1': 0.16107382550335572, 'ROUGE-2': 0.09523809523809525, 'ROUGE-L': 0.1476510067114094, 'BLEU': 0.02151472908077454}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.19801980198019803, 'ROUGE-2': 0.06060606060606061, 'ROUGE-L': 0.15841584158415842, 'BLEU': 0.015349669019194965}"
16,"{'Descriptiveness': 4.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.30833333333333335, 'ROUGE-2': 0.03361344537815126, 'ROUGE-L': 0.18333333333333332, 'BLEU': 0.014561900958005879}","{'Descriptiveness': 5.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 5.0, 'ROUGE-1': 0.2801932367149758, 'ROUGE-2': 0.02926829268292683, 'ROUGE-L': 0.1835748792270531, 'BLEU': 0.016056920908663966}","{'Descriptiveness': 5.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 5.0, 'ROUGE-1': 0.1935483870967742, 'ROUGE-2': 0.026143790849673203, 'ROUGE-L': 0.1290322580645161, 'BLEU': 0.009917361135219486}"
17,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.23655913978494622, 'ROUGE-2': 0.05434782608695653, 'ROUGE-L': 0.15053763440860216, 'BLEU': 0.01884480320342584}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.26190476190476186, 'ROUGE-2': 0.048192771084337345, 'ROUGE-L': 0.17857142857142858, 'BLEU': 0.019602342187215446}","{'Descriptiveness': 5.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 5.0, 'ROUGE-1': 0.21705426356589147, 'ROUGE-2': 0.0, 'ROUGE-L': 0.13953488372093023, 'BLEU': 0.007591533805950052}"
18,"{'Descriptiveness': 5.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 5.0, 'ROUGE-1': 0.23655913978494622, 'ROUGE-2': 0.010869565217391302, 'ROUGE-L': 0.18279569892473121, 'BLEU': 0.010128518036328424}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.2787878787878788, 'ROUGE-2': 0.024539877300613498, 'ROUGE-L': 0.18181818181818182, 'BLEU': 0.01172130682328755}","{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 3.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.22448979591836735, 'ROUGE-2': 0.020833333333333332, 'ROUGE-L': 0.16326530612244897, 'BLEU': 0.013577491713604634}"
19,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.8, 'ROUGE-1': 0.2543352601156069, 'ROUGE-2': 0.09356725146198831, 'ROUGE-L': 0.19653179190751446, 'BLEU': 0.020990812745937473}","{'Descriptiveness': 5.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 5.0, 'ROUGE-1': 0.24489795918367346, 'ROUGE-2': 0.08275862068965517, 'ROUGE-L': 0.21768707482993196, 'BLEU': 0.029710709727400104}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.6, 'ROUGE-1': 0.3149606299212598, 'ROUGE-2': 0.128, 'ROUGE-L': 0.22047244094488191, 'BLEU': 0.019952566708204163}"
20,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.4083044982698962, 'ROUGE-2': 0.0975609756097561, 'ROUGE-L': 0.2214532871972318, 'BLEU': 0.04240268075230949}","{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.38910505836575876, 'ROUGE-2': 0.08627450980392157, 'ROUGE-L': 0.19455252918287938, 'BLEU': 0.03881464843737534}","{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.35344827586206895, 'ROUGE-2': 0.02608695652173913, 'ROUGE-L': 0.2068965517241379, 'BLEU': 0.009347282822340205}"
21,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.16, 'ROUGE-2': 0.05405405405405405, 'ROUGE-L': 0.1333333333333333, 'BLEU': 0.008135927946756147}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.6, 'ROUGE-1': 0.1917808219178082, 'ROUGE-2': 0.08333333333333334, 'ROUGE-L': 0.1506849315068493, 'BLEU': 0.017106655136266875}","{'Descriptiveness': 1.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.0, 'ROUGE-1': 0.17699115044247787, 'ROUGE-2': 0.05405405405405406, 'ROUGE-L': 0.12389380530973451, 'BLEU': 0.02155837674138937}"
22,"{'Descriptiveness': 5.0, 'Coherence': 4.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.6, 'ROUGE-1': 0.15853658536585366, 'ROUGE-2': 0.024691358024691357, 'ROUGE-L': 0.12195121951219512, 'BLEU': 0.009655345717930261}","{'Descriptiveness': 5.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 5.0, 'ROUGE-1': 0.16993464052287582, 'ROUGE-2': 0.013245033112582783, 'ROUGE-L': 0.11764705882352942, 'BLEU': 0.00856957038143778}","{'Descriptiveness': 5.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.14035087719298248, 'ROUGE-2': 0.0, 'ROUGE-L': 0.14035087719298248, 'BLEU': 0.005974513595910214}"
23,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.1717791411042945, 'ROUGE-2': 0.02484472049689441, 'ROUGE-L': 0.1349693251533742, 'BLEU': 0.009508836949928054}","{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.8, 'ROUGE-1': 0.15384615384615383, 'ROUGE-2': 0.028368794326241134, 'ROUGE-L': 0.12587412587412586, 'BLEU': 0.014815209733888913}","{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.0, 'ROUGE-1': 0.12048192771084336, 'ROUGE-2': 0.0, 'ROUGE-L': 0.12048192771084336, 'BLEU': 0.007568769256841371}"
24,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.8, 'ROUGE-1': 0.28409090909090906, 'ROUGE-2': 0.08045977011494253, 'ROUGE-L': 0.1818181818181818, 'BLEU': 0.012206212380056307}","{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.2531645569620253, 'ROUGE-2': 0.025641025641025644, 'ROUGE-L': 0.18987341772151897, 'BLEU': 0.012227518213517303}","{'Descriptiveness': 3.0, 'Coherence': 4.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.6, 'ROUGE-1': 0.32941176470588235, 'ROUGE-2': 0.0, 'ROUGE-L': 0.18823529411764706, 'BLEU': 0.0123530440481861}"
25,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.2541436464088398, 'ROUGE-2': 0.0782122905027933, 'ROUGE-L': 0.19889502762430938, 'BLEU': 0.014097687236088648}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.2732919254658385, 'ROUGE-2': 0.07547169811320754, 'ROUGE-L': 0.1987577639751553, 'BLEU': 0.015144016909668519}","{'Descriptiveness': 3.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.3214285714285714, 'ROUGE-2': 0.10909090909090909, 'ROUGE-L': 0.23214285714285715, 'BLEU': 0.03334041996443442}"
26,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.6, 'ROUGE-1': 0.3261802575107296, 'ROUGE-2': 0.1038961038961039, 'ROUGE-L': 0.18025751072961374, 'BLEU': 0.023727379612790336}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.36999999999999994, 'ROUGE-2': 0.0707070707070707, 'ROUGE-L': 0.22000000000000003, 'BLEU': 0.02561507576766646}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 4.8, 'ROUGE-1': 0.2261904761904762, 'ROUGE-2': 0.03614457831325301, 'ROUGE-L': 0.1547619047619048, 'BLEU': 0.015521267411199144}"
27,"{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 4.0, 'Conciseness': 5.0, 'Overall_Average': 4.6, 'ROUGE-1': 0.2142857142857143, 'ROUGE-2': 0.04819277108433735, 'ROUGE-L': 0.14285714285714285, 'BLEU': 0.015846527459922512}","{'Descriptiveness': 5.0, 'Coherence': 4.0, 'Completeness': 5.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.4, 'ROUGE-1': 0.19607843137254902, 'ROUGE-2': 0.05298013245033113, 'ROUGE-L': 0.13071895424836602, 'BLEU': 0.011680251479700468}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 4.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 4.2, 'ROUGE-1': 0.22222222222222218, 'ROUGE-2': 0.04838709677419355, 'ROUGE-L': 0.1746031746031746, 'BLEU': 0.006384095032934021}"
28,"{'Descriptiveness': 3.0, 'Coherence': 3.0, 'Completeness': 3.0, 'Fluency': 4.0, 'Conciseness': 4.0, 'Overall_Average': 3.4, 'ROUGE-1': 0.0790960451977401, 'ROUGE-2': 0.03428571428571429, 'ROUGE-L': 0.0790960451977401, 'BLEU': 0.011468687760271818}","{'Descriptiveness': 5.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 5.0, 'Overall_Average': 5.0, 'ROUGE-1': 0.10144927536231883, 'ROUGE-2': 0.04411764705882354, 'ROUGE-L': 0.10144927536231883, 'BLEU': 0.012483259261669613}","{'Descriptiveness': 4.0, 'Coherence': 5.0, 'Completeness': 5.0, 'Fluency': 5.0, 'Conciseness': 4.0, 'Overall_Average': 4.6, 'ROUGE-1': 0.09615384615384616, 'ROUGE-2': 0.019607843137254905, 'ROUGE-L': 0.09615384615384616, 'BLEU': 0.009493603101505453}"
